ts_code,trade_date,open,high,low,close,vol,amount,return_rate,macd,roc,middleboll,upboll,downboll,cci,rsi,wr,k,d,j,pe_ttm,lncap,turnover_rate_rolling,roe,debt_to_assets,q_gr_yoy,sh_chg,alpha,beta,var_e
600000.SH,2000-03-27,1.4236853027596605,1.34798125969882,1.439652872203523,1.4733109467279255,61611.0,158738.686,0.0153,0.007468388816628795,-2.0710059171597632,-0.06643128917109414,0.43307611098041404,0.6003732924010378,78.2416611442445,57.74776843776166,41.66666666666666,49.169581606169245,40.616617032863815,66.27551075278011,37.466461735835146,4.297804609199732,3.696540000000001,6.5944,43.79237916324636,53.0924,0.026244,0.001999730971402131,0.638360312880184,0.0002200303334481236
600000.SH,2000-03-28,1.463812292402618,1.3563949852455843,1.4161038293967139,1.4100518702071998,70742.0,180806.578,-0.0151,0.006793567811369097,-0.6097560975609762,-0.06704002854912133,0.4305893113860132,0.5988850826436953,53.87774257890301,51.93908902097987,55.55555555555563,47.594535843388776,42.942590032033095,56.89842746610019,30.91493630120203,4.27598539647044,3.635890000000001,6.5944,43.79237916324636,53.0924,0.008742999999999999,0.0021276596950353475,0.6268585617031031,0.00022796291147261376
600000.SH,2000-03-29,1.3926270093071618,1.2864660916245878,1.3882629803066493,1.3762630769355504,74952.0,189202.622,-0.0123,0.0009144633586132303,-1.2269938650306678,-0.06723456207424472,0.4250325562712999,0.5920202756188222,6.381766381766234,47.747564831040364,66.66666666666663,41.53361202261284,42.47293068716957,39.65497469349938,31.140014805061586,4.26705642679869,3.1013650000000013,6.5944,43.79237916324636,53.0924,-0.00147,0.0037473079915852562,0.7868821402531072,0.00024003562696075563
600000.SH,2000-03-30,1.3620199260413686,1.3030484330262555,1.425139819904263,1.4164506012435776,44008.0,111744.655,0.0093,0.0008684250754909095,0.0,-0.0540290652350805,0.42762533448982454,0.5919198140871033,44.61988304093506,50.983989014734114,61.76470588235296,39.8102867824301,41.58538270835283,36.2600949305846,32.218542016798686,4.28011222237617,2.967005000000001,6.5944,43.79237916324636,53.0924,0.012398000000000001,0.0027111555639416198,0.8513167106934988,0.0002115270504157057
600000.SH,2000-03-31,1.3929308313570006,1.2885165093539626,1.4003783568384247,1.3935242287391127,43204.0,109090.852,-0.0062,-0.0018064723291358368,0.6230529595015577,-0.07543434632123841,0.41938534491190466,0.5908713175707807,14.047513649107428,48.78635883644392,69.69696969696967,33.436742861820875,38.86916940460971,22.57188977624323,32.01496145436949,4.272451237379352,2.782795000000001,6.5944,43.79237916324636,53.0924,-0.005940999999999999,0.0029519637681263877,0.8873819266923185,0.00022487884609693256
600000.SH,2000-04-03,1.3627746326658123,1.2874611531943292,1.403530771573263,1.3976608282897207,34984.0,88393.31800000001,0.0,-0.003468681816955914,3.194888178913735,-0.05685621046055994,0.42258460146944965,0.5885112755635136,10.901467505240154,48.78635883644391,79.31034482758618,28.24354283277335,35.327293861916715,14.076040774486616,32.308536222623204,4.275398856320349,2.515330000000001,6.5944,43.79237916324636,53.0924,0.000432,0.003418237151845112,0.8511189262064587,0.00021440160641519773
600000.SH,2000-04-04,1.370365173809981,1.2538641731871076,1.3745321641352217,1.3498529337670135,43071.0,107536.323,-0.0155,-0.010703286860734542,0.0,-0.072914866282769,0.4199397901992226,0.581930969490565,-56.68188736681919,43.24095469099064,100.0,18.829028521960865,29.82787206252541,-3.1686585591682217,31.57737464812543,4.262159451524639,2.4086800000000013,6.5944,43.79237916324636,53.0924,-0.022383,0.0031550745858784984,0.8314029468199339,0.00020612409383957025
600000.SH,2000-04-05,1.3340802492918382,1.3070610288005349,1.3819302940997182,1.402276404210791,34270.0,85948.606,0.0126,-0.009677441938549613,0.6250000000000089,-0.0576176362068157,0.4180684291467801,0.5836898651700682,-26.61913250148389,48.36333189541915,85.71428571428571,17.314590439649308,25.65677817842091,0.6302149621061021,32.51010426410057,4.277144466205072,2.372045000000001,6.5944,43.79237916324636,53.0924,0.005968,0.0029536401619812865,0.8634919850832364,0.00019948157232064974
600000.SH,2000-04-06,1.3852205120894712,1.2923307249496054,1.4048581187578995,1.4181356825285614,29276.0,73823.696,0.0062,-0.006027766656918737,1.2499999999999956,-0.07232673678408719,0.39134908963721393,0.6020907510994781,-16.41025641025418,50.78594567801529,78.57142857142854,22.65417141258489,24.655909254905875,18.65069572794291,32.981258198668776,4.281473149465497,2.0038700000000014,6.5944,43.79237916324636,53.0924,0.021422,0.0037199411569724993,0.9995954267360662,0.00023622896134828516
600000.SH,2000-04-07,1.4104282813007103,1.3543912924274903,1.451700221290084,1.4630312985391905,60063.0,154300.91,0.0154,0.002881655670655469,1.5432098765431943,-0.0531552120297098,0.41324455662375403,0.5934817133123265,122.32323232323454,56.36874762053212,38.88888888888887,35.473151325496545,28.26165661553944,49.89614074541078,33.96689083613932,4.293825189349772,1.9325650000000012,6.5944,43.79237916324636,53.0924,0.005945000000000001,0.0035212082916437947,1.0952078469553683,0.00026980385369681603
