trade_date,close,end_date,UpperBound,LowerBound,y_primary,pred_y,pred_p
2016-07-01,11.6,2016-07-29,0.02515446902355851,-0.021332200726315673,-1.0,1,0.4889235644452442
2016-07-04,11.61,2016-08-01,0.023932044387512837,-0.02030237307095979,-1.0,1,0.4992593186071944
2016-07-05,11.51,2016-08-02,0.022776009555305798,-0.02113011645937685,-1.0,1,0.49341545647280255
2016-07-06,11.4,2016-08-03,0.021635176533734164,-0.02197460658979845,-1.0,1,0.49803719513634603
2016-07-07,11.35,2016-08-04,0.020323923355474893,-0.0214691219776283,-1.0,1,0.4856309132551041
2016-07-08,11.26,2016-08-05,0.0190902309094663,-0.02163112490093843,-1.0,1,0.4863641842161372
2016-07-11,11.25,2016-08-08,0.01813298678917146,-0.020603319448122437,-1.0,0,0.5423257677714862
2016-07-12,11.4,2016-08-09,0.020546457666362525,-0.020248187214937215,-1.0,0,0.5165988324572133
2016-07-13,11.51,2016-08-10,0.021268832090235907,-0.019170396919898722,-1.0,1,0.47159412638921394
2016-07-14,11.44,2016-08-11,0.02007722449973272,-0.019340545059903836,-1.0,0,0.5213074092345733
2016-07-15,11.45,2016-08-12,0.01916859785867027,-0.018330649794063188,-1.0,1,0.4850359617586864
2016-07-18,11.5,2016-08-15,0.018793053135573314,-0.017196814410452614,-1.0,1,0.4845335968750204
2016-07-19,11.47,2016-08-16,0.01771303099528061,-0.016764053101123787,-1.0,1,0.48609310252187715
2016-07-20,11.48,2016-08-17,0.016914140977015005,-0.015884113358492165,-1.0,1,0.4841938165831203
2016-07-21,11.54,2016-08-18,0.016813087746379702,-0.014890681805811419,-1.0,1,0.4856636976046105
2016-07-22,11.39,2016-08-19,0.016896214506642585,-0.017633085322318904,-1.0,0,0.5154069712511894
2016-07-25,11.44,2016-08-22,0.01675694303227422,-0.01658554043693375,-1.0,1,0.4853362034933321
2016-07-26,11.47,2016-08-23,0.016254826708435612,-0.015604510074556136,-1.0,1,0.45737804560804296
2016-07-27,11.57,2016-08-24,0.017092550614713944,-0.014847026041203942,-1.0,1,0.35319991880857377
2016-07-28,11.43,2016-08-25,0.017015119457930297,-0.01728821627237363,-1.0,1,0.41781855088817765
2016-07-29,11.44,2016-08-26,0.016288603414542767,-0.016364262437134354,-1.0,1,0.44372668310663776
2016-08-01,11.52,2016-08-29,0.016730170084229275,-0.015465290152288329,-1.0,1,0.3532173561012259
2016-08-02,11.48,2016-08-30,0.015751867761338603,-0.01527411925148727,-1.0,1,0.40833295241298306
2016-08-03,11.42,2016-08-31,0.014835981368319831,-0.01539420890702577,-1.0,1,0.46288986330904763
2016-08-04,11.36,2016-09-01,0.013934665461628498,-0.015449252282362443,-1.0,1,0.4639144479016203
2016-08-05,11.47,2016-09-02,0.015567417546501575,-0.015090138955737046,-1.0,1,0.39238589957697523
2016-08-08,11.47,2016-09-05,0.014797196724582178,-0.014365373237699985,-1.0,1,0.38183600194189743
2016-08-09,11.51,2016-09-06,0.014538605044657048,-0.013481240937477924,-1.0,1,0.32529847828997766
2016-08-10,11.54,2016-09-07,0.014110321813487883,-0.012658420954611532,-1.0,1,0.33071538498954517
2016-08-11,11.71,2016-09-08,0.017318792633742877,-0.013205168047140463,-1.0,1,0.31415747020707085
2016-08-12,11.93,2016-09-09,0.02132774236250565,-0.014024939165103462,-1.0,1,0.4903203137574947
2016-08-15,12.35,2016-09-12,0.03202938749273447,-0.018717327456989633,-1.0,1,0.46510803908996784
2016-08-16,12.17,2016-09-13,0.031952288294657086,-0.02268899588136414,-1.0,1,0.462622901897169
2016-08-17,12.13,2016-09-14,0.03029887348320164,-0.02254637082355564,-1.0,1,0.4536282930817238
2016-08-18,11.98,2016-09-19,0.029303507693718662,-0.02465124338261038,-1.0,1,0.45254769067220435
2016-08-19,11.97,2016-09-20,0.02775800257418776,-0.02370119200699455,-1.0,1,0.4505552180933634
2016-08-22,11.96,2016-09-21,0.02629198766850489,-0.02277392096485389,-1.0,1,0.453737235679854
2016-08-23,11.95,2016-09-22,0.024901662732552197,-0.021871030953058437,-1.0,1,0.45192998593535744
2016-08-24,11.95,2016-09-23,0.02363457045884242,-0.020892570277395685,-1.0,1,0.4542712742616901
2016-08-25,11.91,2016-09-26,0.02228910484460904,-0.020436818966157233,-1.0,1,0.4638331352130518
2016-08-26,11.91,2016-09-27,0.021165824755850958,-0.01948994705629932,-1.0,1,0.4764008178586234
2016-08-29,11.83,2016-09-28,0.019981649478712105,-0.01974156965530825,-1.0,1,0.4751631544055293
2016-08-30,11.95,2016-09-29,0.020895990471149303,-0.018754965869022,-1.0,1,0.4741933108290502
2016-08-31,12.01,2016-09-30,0.020450496300245365,-0.01756099785070161,-1.0,1,0.4947718513077202
2016-09-01,11.96,2016-10-10,0.019302180830156838,-0.017487872709141063,-1.0,1,0.4932093145573992
2016-09-02,12.01,2016-10-11,0.01882997579850422,-0.016388458927108995,-1.0,0,0.513886551706432
2016-09-05,12.02,2016-10-12,0.017932310211496882,-0.01557093780404406,-1.0,0,0.510288330667693
